network,station,Startdate,Enddate,latitude,longitude,elevation,sample_frequency,duration_info,URL1,URL2,URL3
AI,ESPZ,2005-01-26,2599-12-31,-63.398101,-56.996398,31.0,20,perm,http://folk.uib.no/hif002/glimer-figs/AI_ESPZ_1.jpg,http://folk.uib.no/hif002/glimer-figs/AI_ESPZ_2.jpg,http://folk.uib.no/hif002/glimer-figs/AI_ESPZ_3.jpg
AI,JUBA,2002-03-15,2599-12-31,-62.2373,-58.6627,16.0,20,perm,http://folk.uib.no/hif002/glimer-figs/AI_JUBA_1.jpg,http://folk.uib.no/hif002/glimer-figs/AI_JUBA_2.jpg,http://folk.uib.no/hif002/glimer-figs/AI_JUBA_3.jpg
AI,ORCD,1997-03-01,2599-12-31,-60.7381,-44.7361,20.0,20,perm,http://folk.uib.no/hif002/glimer-figs/AI_ORCD_1.jpg,http://folk.uib.no/hif002/glimer-figs/AI_ORCD_2.jpg,http://folk.uib.no/hif002/glimer-figs/AI_ORCD_3.jpg
AI,SMAI,2007-02-07,2599-12-31,-68.1302,-67.1059,9.0,20,perm,http://folk.uib.no/hif002/glimer-figs/AI_SMAI_1.jpg,http://folk.uib.no/hif002/glimer-figs/AI_SMAI_2.jpg,http://folk.uib.no/hif002/glimer-figs/AI_SMAI_3.jpg
AK,ANM,2010-06-21,2599-12-31,64.5646,-165.3732,338.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_ANM_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_ANM_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_ANM_3.jpg
AK,ATKA,2002-10-03,2599-12-31,52.2016,-174.1975,55.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_ATKA_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_ATKA_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_ATKA_3.jpg
AK,BAGL,2013-01-01,2599-12-31,60.4896,-142.0915,1470.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_BAGL_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BAGL_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BAGL_3.jpg
AK,BAL,2010-06-18,2599-12-31,61.036,-142.3462,1318.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_BAL_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BAL_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BAL_3.jpg
AK,BARK,2013-01-01,2599-12-31,60.403,-142.4931,1389.6,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_BARK_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BARK_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BARK_3.jpg
AK,BARN,2013-01-01,2599-12-31,61.0595,-141.6622,1689.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_BARN_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BARN_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BARN_3.jpg
AK,BCP,2011-08-15,2599-12-31,59.9534,-139.6369,421.8,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_BCP_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BCP_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BCP_3.jpg
